Place_ID,Name_of_place,Type,Food_Type,Category,Location_of_place,Neighborhood,Address,Vibe_Type,Crowd_Type,Has_Music,Has_Alcohol,Has_Smoking,Solo_Friendly,Group_Friendly,Phone,Price_Level,Price_Symbol,Price_Midpoint
1,Cafe Lyria,Cafe,,Cafe,New York,SoHo,"166 Crosby St, New York, NY 10012","Relaxed, Cozy","Students, Remote Workers",No,No,No,Yes,Yes,(212) 677-4579,0-25,$,12.5
2,Fellini Coffee,Cafe,,Cafe,New York,West Village,"174 7th Ave S, New York, NY 10014","Relaxed, Cozy","Students, Remote Workers",No,No,No,Yes,Yes,,25-60,$$,42.5
3,Frame Coffee,Cafe,,Cafe,New York,Upper West Side,"305 Amsterdam Ave, New York, NY 10023","Relaxed, Cozy","Students, Remote Workers",No,No,No,Yes,Yes,(646) 716-2365,0-25,$,12.5
4,Harper’s Bread House,Cafe,,Cafe,New York,Lower East Side,"271 Grand St, New York, NY 10002","Relaxed, Cozy","Students, Remote Workers",No,No,No,Yes,Yes,(212) 226-8882,0-25,$,12.5
5,Hien From Vietnam,Cafe,,Cafe,New York,Chinatown,"121 Mott St, New York, NY 10013","Relaxed, Cozy","Students, Remote Workers",No,No,No,Yes,Yes,(646) 917-0798,0-25,$,12.5
6,Le Phin,Cafe,,Cafe,New York,East Village,"259 E 10th St, New York, NY 10009","Relaxed, Cozy","Students, Remote Workers",No,No,No,Yes,Yes,(929) 422-3972,25-60,$$,42.5
7,Mee Sum Cafe,Cafe,,Cafe,New York,Chinatown,"26 Pell St, New York, NY 10013","Relaxed, Cozy","Students, Remote Workers",No,No,No,Yes,Yes,(212) 349-5260,0-25,$,12.5
8,Paquita,Cafe,,Cafe,New York,West Village,"242 W 10th St, New York, NY 10014","Relaxed, Cozy","Students, Remote Workers",No,No,No,Yes,Yes,(646) 360-0335,25-60,$$,42.5
9,Patisserie Vanessa,Cafe,,Cafe,New York,Upper East Side,"1340 Lexington Ave, New York, NY 10128","Relaxed, Cozy","Students, Remote Workers",No,No,No,Yes,Yes,(855) 466-5227,25-60,$$,42.5
10,Pio Hot Bagels,Cafe,,Cafe,New York,Staten Island,"655 Rossville Ave, Staten Island, NY 10309","Relaxed, Cozy","Students, Remote Workers",No,No,No,Yes,Yes,(718) 605-6100,0-25,$,12.5
